bayesian	('bayesian',)
hardly~mysterious~student~understand	('student~hardly~understand~mysterious',)
discussions	('discussions',)
discussions~mysterious	('mysterious~discussions',)
discussions~mysterious~understand	('understand~mysterious~discussions',)
discussions~hardly~mysterious~understand	('hardly~understand~mysterious~discussions',)
'paradox'	("'paradox'",)
'paradox'~modified	("'paradox'~modified",)
'paradox'~discussions~modified	("discussions~'paradox'~modified",)
'paradox'~discussions~modified~mysterious	("mysterious~discussions~'paradox'~modified",)
'paradox'~modified~version	("'paradox'~modified~version",)
'paradox'~discussions~modified~version	("discussions~'paradox'~modified~version",)
$2	('$2',)
$2~bet	('bet~$2',)
$2~bet~player	('player~bet~$2',)
$2~bet~game~player	('game~player~bet~$2',)
turn	('turn',)
head~turn	('head~turn',)
$2~head~turn	('$2~head~turn',)
$2~bet~head~turn	('bet~$2~head~turn',)
turn~up	('turn~up',)
head~turn~up	('head~turn~up',)
$2~head~turn~up	('$2~head~turn~up',)
first~up	('up~first',)
first~turn~up	('turn~up~first',)
first~head~turn~up	('head~turn~up~first',)
throw	('throw',)
$4	('$4',)
$4~throw	('throw~$4',)
$4~first~throw	('first~throw~$4',)
$4~first~throw~up	('up~first~throw~$4',)
$4~head~turn	('$4~head~turn',)
$4~head~throw~turn	('throw~$4~head~turn',)
$4~head~turn~up	('$4~head~turn~up',)
second~up	('up~second',)
second~turn~up	('turn~up~second',)
head~second~turn~up	('head~turn~up~second',)
second~throw	('second~throw',)
second~throw~up	('up~second~throw',)
second~throw~turn~up	('turn~up~second~throw',)
did	('did',)
did~throw	('throw~did',)
did~second~throw	('second~throw~did',)
did~second~throw~up	('up~second~throw~did',)
did~turn	('did~turn',)
did~throw~turn	('throw~did~turn',)
did~second~throw~turn	('second~throw~did~turn',)
did~turn~up	('did~turn~up',)
did~throw~turn~up	('throw~did~turn~up',)
$8	('$8',)
$8~first	('first~$8',)
$8~first~up	('up~first~$8',)
$8~first~turn~up	('turn~up~first~$8',)
$8~head~turn	('$8~head~turn',)
$8~first~head~turn	('first~$8~head~turn',)
$8~head~turn~up	('$8~head~turn~up',)
third~up	('up~third',)
third~turn~up	('turn~up~third',)
head~third~turn~up	('head~turn~up~third',)
expected~throw	('throw~expected',)
expected~third~throw	('third~throw~expected',)
expected~third~throw~up	('up~third~throw~expected',)
payoff	('payoff',)
payoff~player	('payoff~player',)
expected~payoff~player	('expected~payoff~player',)
expected~payoff~player~throw	('throw~expected~payoff~player',)
apparently	('apparently',)
apparently~player	('player~apparently',)
apparently~payoff~player	('payoff~player~apparently',)
apparently~expected~payoff~player	('expected~payoff~player~apparently',)
hole	('hole',)
apparently~hole	('apparently~hole',)
apparently~hole~player	('player~apparently~hole',)
apparently~hole~payoff~player	('payoff~player~apparently~hole',)
amount~hole	('hole~amount',)
amount~apparently~hole	('apparently~hole~amount',)
amount~apparently~hole~player	('player~apparently~hole~amount',)
amount~hole~money	('hole~amount~money',)
amount~apparently~hole~money	('apparently~hole~amount~money',)
money~still	('money~still',)
amount~money~still	('amount~money~still',)
amount~hole~money~still	('hole~amount~money~still',)
come~money~still	('money~still~come',)
amount~come~money~still	('amount~money~still~come',)
come~money~out~still	('money~still~come~out',)
end~paradox	('end~paradox',)
ahead~end~paradox	('ahead~end~paradox',)
ahead~end~out~paradox	('out~ahead~end~paradox',)
clearly	('clearly',)
clearly~paradox	('paradox~clearly',)
clearly~end~paradox	('end~paradox~clearly',)
ahead~clearly~end~paradox	('ahead~end~paradox~clearly',)
resolved	('resolved',)
clearly~resolved	('clearly~resolved',)
clearly~paradox~resolved	('paradox~clearly~resolved',)
clearly~end~paradox~resolved	('end~paradox~clearly~resolved',)
making~resolved	('resolved~making',)
clearly~making~resolved	('clearly~resolved~making',)
clearly~making~paradox~resolved	('paradox~clearly~resolved~making',)
distinction~making	('making~distinction',)
distinction~making~resolved	('resolved~making~distinction',)
clearly~distinction~making~resolved	('clearly~resolved~making~distinction',)
amount~distinction	('distinction~amount',)
amount~distinction~making	('making~distinction~amount',)
amount~distinction~making~resolved	('resolved~making~distinction~amount',)
amount~final	('amount~final',)
amount~distinction~final	('distinction~amount~final',)
amount~distinction~final~making	('making~distinction~amount~final',)
final~payoff	('final~payoff',)
amount~final~payoff	('amount~final~payoff',)
amount~distinction~final~payoff	('distinction~amount~final~payoff',)
net	('net',)
net~payoff	('payoff~net',)
final~net~payoff	('final~payoff~net',)
amount~final~net~payoff	('amount~final~payoff~net',)
amount~net	('net~amount',)
amount~net~payoff	('payoff~net~amount',)
won	('won',)
amount~won	('amount~won',)
amount~net~won	('net~amount~won',)
amount~net~payoff~won	('payoff~net~amount~won',)
game~misleading	('game~misleading',)
game~misleading~won	('won~game~misleading',)
amount~game~misleading~won	('amount~won~game~misleading',)
misleading~payoff	('misleading~payoff',)
game~misleading~payoff	('game~misleading~payoff',)
game~misleading~payoff~won	('won~game~misleading~payoff',)
payoff~without	('payoff~without',)
misleading~payoff~without	('misleading~payoff~without',)
game~misleading~payoff~without	('game~misleading~payoff~without',)
account	('account',)
account~without	('without~account',)
account~payoff~without	('payoff~without~account',)
account~misleading~payoff~without	('misleading~payoff~without~account',)
account~amount	('account~amount',)
account~amount~without	('without~account~amount',)
account~amount~payoff~without	('payoff~without~account~amount',)
amount~lost	('amount~lost',)
account~amount~lost	('account~amount~lost',)
account~amount~lost~without	('without~account~amount~lost',)
previous	('previous',)
lost~previous	('lost~previous',)
amount~lost~previous	('amount~lost~previous',)
account~amount~lost~previous	('account~amount~lost~previous',)
bet~shown	('bet~shown',)
bet~previous~shown	('previous~bet~shown',)
bet~lost~previous~shown	('lost~previous~bet~shown',)
follow~time	('follow~time',)
follow~shown~time	('shown~follow~time',)
bet~follow~shown~time	('bet~shown~follow~time',)
player~time	('time~player',)
follow~player~time	('follow~time~player',)
follow~player~shown~time	('shown~follow~time~player',)
first~player	('player~first',)
first~player~time	('time~player~first',)
first~follow~player~time	('follow~time~player~first',)
first~wins	('first~wins',)
first~player~wins	('player~first~wins',)
first~player~time~wins	('time~player~first~wins',)
say~th	('say~th',)
say~th~wins	('wins~say~th',)
first~say~th~wins	('first~wins~say~th',)
he~toss	('toss~he',)
he~th~toss	('th~toss~he',)
he~say~th~toss	('say~th~toss~he',)
he~lost	('he~lost',)
he~lost~toss	('toss~he~lost',)
he~lost~th~toss	('th~toss~he~lost',)
dollars~he~toss	('dollars~toss~he',)
dollars~he~lost~toss	('lost~dollars~toss~he',)
he~wins	('he~wins',)
he~toss~wins	('toss~he~wins',)
dollars~he~toss~wins	('dollars~toss~he~wins',)
mean~net	('mean~net',)
dollars~mean~net	('dollars~mean~net',)
dollars~mean~net~wins	('wins~dollars~mean~net',)
gain~net	('net~gain',)
gain~mean~net	('mean~net~gain',)
dollars~gain~mean~net	('dollars~mean~net~gain',)
gain~player	('gain~player',)
gain~net~player	('net~gain~player',)
gain~mean~net~player	('mean~net~gain~player',)
whopping	('whopping',)
player~whopping	('player~whopping',)
gain~player~whopping	('gain~player~whopping',)
gain~net~player~whopping	('net~gain~player~whopping',)
$2~no	('$2~no',)
$2~no~whopping	('whopping~$2~no',)
$2~no~player~whopping	('player~whopping~$2~no',)
matter~no	('no~matter',)
$2~matter~no	('$2~no~matter',)
$2~matter~no~whopping	('whopping~$2~no~matter',)
many~matter	('matter~many',)
many~matter~no	('no~matter~many',)
$2~many~matter~no	('$2~no~matter~many',)
many~tosses	('many~tosses',)
many~matter~tosses	('matter~many~tosses',)
many~matter~no~tosses	('no~matter~many~tosses',)
finally~tosses	('tosses~finally',)
finally~many~tosses	('many~tosses~finally',)
finally~many~matter~tosses	('matter~many~tosses~finally',)
win	('win',)
expected~large	('expected~large',)
expected~large~win	('win~expected~large',)
expected~finally~large~win	('finally~win~expected~large',)
large~payoff	('large~payoff',)
expected~large~payoff	('expected~large~payoff',)
expected~large~payoff~win	('win~expected~large~payoff',)
long~payoff	('payoff~long',)
large~long~payoff	('large~payoff~long',)
expected~large~long~payoff	('expected~large~payoff~long',)
long~run	('long~run',)
long~payoff~run	('payoff~long~run',)
large~long~payoff~run	('large~payoff~long~run',)
balanced	('balanced',)
balanced~tail	('tail~balanced',)
balanced~run~tail	('run~tail~balanced',)
balanced~long~run~tail	('long~run~tail~balanced',)
balanced~large	('balanced~large',)
balanced~large~tail	('tail~balanced~large',)
balanced~large~run~tail	('run~tail~balanced~large',)
amount~large	('large~amount',)
amount~balanced~large	('balanced~large~amount',)
amount~balanced~large~tail	('tail~balanced~large~amount',)
amount~player	('amount~player',)
amount~large~player	('large~amount~player',)
amount~balanced~large~player	('balanced~large~amount~player',)
invest	('invest',)
fact~noting	('fact~noting',)
fact~invest~noting	('invest~fact~noting',)
fact~invest~noting~player	('player~invest~fact~noting',)
fact~noting~probability	('fact~noting~probability',)
fact~invest~noting~probability	('invest~fact~noting~probability',)
noting~probability~winning	('noting~probability~winning',)
fact~noting~probability~winning	('fact~noting~probability~winning',)
th~winning	('winning~th',)
probability~th~winning	('probability~winning~th',)
noting~probability~th~winning	('noting~probability~winning~th',)
th~toss	('th~toss',)
th~toss~winning	('winning~th~toss',)
probability~th~toss~winning	('probability~winning~th~toss',)
seen~toss	('toss~seen',)
seen~th~toss	('th~toss~seen',)
seen~th~toss~winning	('winning~th~toss~seen',)
probability~seen	('seen~probability',)
probability~seen~toss	('toss~seen~probability',)
probability~seen~th~toss	('th~toss~seen~probability',)
distribution~probability~seen	('seen~probability~distribution',)
distribution~probability~seen~toss	('toss~seen~probability~distribution',)
distribution~number	('distribution~number',)
distribution~number~probability	('probability~distribution~number',)
distribution~number~probability~seen	('seen~probability~distribution~number',)
distribution~number~tosses	('distribution~number~tosses',)
distribution~number~probability~tosses	('probability~distribution~number~tosses',)
tosses~win	('tosses~win',)
number~tosses~win	('number~tosses~win',)
distribution~number~tosses~win	('distribution~number~tosses~win',)
geometric~win	('win~geometric',)
geometric~tosses~win	('tosses~win~geometric',)
geometric~number~tosses~win	('number~tosses~win~geometric',)
distribution~saint	('distribution~saint',)
distribution~geometric~saint	('geometric~distribution~saint',)
distribution~geometric~saint~win	('win~geometric~distribution~saint',)
distribution~petersburg~saint	('distribution~saint~petersburg',)
distribution~geometric~petersburg~saint	('geometric~distribution~saint~petersburg',)
distribution~paradox~petersburg~saint	('distribution~saint~petersburg~paradox',)
paradox~probability	('paradox~probability',)
paradox~petersburg~probability	('petersburg~paradox~probability',)
paradox~petersburg~probability~saint	('saint~petersburg~paradox~probability',)
coin~paradox~probability	('paradox~probability~coin',)
coin~paradox~petersburg~probability	('petersburg~paradox~probability~coin',)
coin~paradox~probability~tossing	('paradox~probability~coin~tossing',)
gambler~tossing	('tossing~gambler',)
coin~gambler~tossing	('coin~tossing~gambler',)
coin~gambler~probability~tossing	('probability~coin~tossing~gambler',)
gambler~ruin~tossing	('tossing~gambler~ruin',)
coin~gambler~ruin~tossing	('coin~tossing~gambler~ruin',)
geometric~ruin	('ruin~geometric',)
gambler~geometric~ruin	('gambler~ruin~geometric',)
gambler~geometric~ruin~tossing	('tossing~gambler~ruin~geometric',)
distribution~geometric~ruin	('ruin~geometric~distribution',)
distribution~gambler~geometric~ruin	('gambler~ruin~geometric~distribution',)
distribution~martingale	('distribution~martingale',)
distribution~geometric~martingale	('geometric~distribution~martingale',)
distribution~geometric~martingale~ruin	('ruin~geometric~distribution~martingale',)
informally	('informally',)
informally~sample	('informally~sample',)
informally~sample~space	('informally~sample~space',)
sample~set~space	('sample~space~set',)
informally~sample~set~space	('informally~sample~space~set',)
event~set~space	('space~event~set',)
possible~set	('set~possible',)
event~possible~set	('event~set~possible',)
formally~set	('formally~set',)
event~formally~set	('event~formally~set',)
event~formally~set~value	('value~event~formally~set',)
formally~possible~set	('formally~set~possible',)
event~formally~possible~set	('event~formally~set~possible',)
event~random	('event~random',)
event~possible~random	('possible~event~random',)
event~possible~random~set	('set~possible~event~random',)
sigma-algebra	('sigma-algebra',)
sample~sigma-algebra	('sigma-algebra~sample',)
form~sample~sigma-algebra	('form~sigma-algebra~sample',)
form~sample~sigma-algebra~variate	('variate~form~sigma-algebra~sample',)
sample~sigma-algebra~space	('sigma-algebra~sample~space',)
form~sample~sigma-algebra~space	('form~sigma-algebra~sample~space',)
largest~space	('space~largest',)
largest~sample~space	('sample~space~largest',)
largest~sample~sigma-algebra~space	('sigma-algebra~sample~space~largest',)
largest~set	('largest~set',)
largest~set~space	('space~largest~set',)
largest~sample~set~space	('sample~space~largest~set',)
sample~set~sigma-algebra	('set~sigma-algebra~sample',)
largest~sample~set~sigma-algebra	('largest~set~sigma-algebra~sample',)
sample~set~sigma-algebra~space	('set~sigma-algebra~sample~space',)
event~sample~space	('sample~space~event',)
event~sample~sigma-algebra~space	('sigma-algebra~sample~space~event',)
event~possibility~space	('event~space~possibility',)
evans~space	('space~evans',)
evans~possibility~space	('possibility~space~evans',)
et~evans~space	('space~evans~et',)
et~evans~possibility~space	('possibility~space~evans~et',)
et~example~sample	('et~example~sample',)
example~sample~space	('example~sample~space',)
space~toss	('space~toss',)
sample~space~toss	('sample~space~toss',)
example~sample~space~toss	('example~sample~space~toss',)
toss~two	('toss~two',)
space~toss~two	('space~toss~two',)
sample~space~toss~two	('sample~space~toss~two',)
coin~land~two	('two~coin~land',)
coin~land~toss~two	('toss~two~coin~land',)
set~tail	('tail~set',)
h~set~tail	('h~tail~set',)
possible~set~tail	('tail~set~possible',)
hh	('hh',)
tt	('tt',)
sample~tt	('tt~sample',)
sample~th~tt	('th~tt~sample',)
ht~sample~th~tt	('ht~th~tt~sample',)
sample~space~tt	('tt~sample~space',)
sample~space~th~tt	('th~tt~sample~space',)
probability~sample~space~tt	('tt~sample~space~probability',)
outcome~probability~space	('space~probability~outcome',)
random~space	('space~random',)
probability~random~space	('probability~space~random',)
outcome~probability~random~space	('outcome~probability~space~random',)
random~space~variable	('space~random~variable',)
probability~random~space~variable	('probability~space~random~variable',)
sample~variable	('variable~sample',)
random~sample~variable	('random~variable~sample',)
random~sample~space~variable	('space~random~variable~sample',)
sample~sigma	('sample~sigma',)
sample~sigma~variable	('variable~sample~sigma',)
random~sample~sigma~variable	('random~variable~sample~sigma',)
algebra~sigma	('sigma~algebra',)
algebra~sample~sigma	('sample~sigma~algebra',)
algebra~sample~sigma~variable	('variable~sample~sigma~algebra',)
algebra~state	('algebra~state',)
algebra~sigma~state	('sigma~algebra~state',)
algebra~sample~sigma~state	('sample~sigma~algebra~state',)
algebra~space~state	('algebra~state~space',)
algebra~sigma~space~state	('sigma~algebra~state~space',)
self-correcting	('self-correcting',)
process~self-correcting	('process~self-correcting',)
point~process~self-correcting	('point~process~self-correcting',)
denotes~self-correcting	('self-correcting~denotes',)
denotes~process~self-correcting	('process~self-correcting~denotes',)
denotes~point~process~self-correcting	('point~process~self-correcting~denotes',)
covariance~denotes~two	('denotes~covariance~two',)
covariance~denotes~self-correcting~two	('self-correcting~denotes~covariance~two',)
intuitively	('intuitively',)
intuitively~process	('intuitively~process',)
intuitively~process~quantities	('quantities~intuitively~process',)
intuitively~process~quantities~two	('two~quantities~intuitively~process',)
intuitively~process~self-correcting	('intuitively~process~self-correcting',)
intuitively~process~quantities~self-correcting	('quantities~intuitively~process~self-correcting',)
occurrence~self-correcting	('self-correcting~occurrence',)
occurrence~process~self-correcting	('process~self-correcting~occurrence',)
intuitively~occurrence~process~self-correcting	('intuitively~process~self-correcting~occurrence',)
occurrence~past	('occurrence~past',)
occurrence~past~self-correcting	('self-correcting~occurrence~past',)
occurrence~past~process~self-correcting	('process~self-correcting~occurrence~past',)
inhibits	('inhibits',)
inhibits~point	('point~inhibits',)
inhibits~past~point	('past~point~inhibits',)
inhibits~occurrence~past~point	('occurrence~past~point~inhibits',)
inhibits~occurrence	('inhibits~occurrence',)
inhibits~occurrence~point	('point~inhibits~occurrence',)
future~inhibits~occurrence	('inhibits~occurrence~future',)
future~inhibits~occurrence~point	('point~inhibits~occurrence~future',)
point~self	('point~self',)
future~point~self	('future~point~self',)
future~occurrence~point~self	('occurrence~future~point~self',)
correcting~future~point~self	('future~point~self~correcting',)
correcting~point~process~time	('correcting~point~process~time',)
process~self-exciting	('process~self-exciting',)
point~process~self-exciting	('point~process~self-exciting',)
denotes~self-exciting	('self-exciting~denotes',)
denotes~process~self-exciting	('process~self-exciting~denotes',)
denotes~point~process~self-exciting	('point~process~self-exciting~denotes',)
covariance~denotes~self-exciting~two	('self-exciting~denotes~covariance~two',)
intuitively~process~self-exciting	('intuitively~process~self-exciting',)
intuitively~process~quantities~self-exciting	('quantities~intuitively~process~self-exciting',)
occurrence~self-exciting	('self-exciting~occurrence',)
occurrence~process~self-exciting	('process~self-exciting~occurrence',)
intuitively~occurrence~process~self-exciting	('intuitively~process~self-exciting~occurrence',)
occurrence~past~self-exciting	('self-exciting~occurrence~past',)
occurrence~past~process~self-exciting	('process~self-exciting~occurrence~past',)
occurrence~point	('point~occurrence',)
occurrence~past~point	('past~point~occurrence',)
future~occurrence~point	('point~occurrence~future',)
future~occurrence~past~point	('past~point~occurrence~future',)
probable~self	('probable~self',)
point~probable~self	('point~probable~self',)
future~point~probable~self	('future~point~probable~self',)
exciting~probable~self	('probable~self~exciting',)
exciting~point~probable~self	('point~probable~self~exciting',)
exciting~point~process~time	('exciting~point~process~time',)
correcting~point~process~simple	('correcting~point~process~simple',)
almost~spp	('spp~almost',)
almost~process~spp	('process~spp~almost',)
almost~point~process~spp	('point~process~spp~almost',)
increasing~surely	('surely~increasing',)
almost~increasing~surely	('almost~surely~increasing',)
almost~increasing~spp~surely	('spp~almost~surely~increasing',)
sequence~strictly	('sequence~strictly',)
increasing~sequence~strictly	('increasing~sequence~strictly',)
increasing~sequence~strictly~surely	('surely~increasing~sequence~strictly',)
positive~possibly	('positive~possibly',)
positive~possibly~strictly	('strictly~positive~possibly',)
positive~possibly~sequence~strictly	('sequence~strictly~positive~possibly',)
infinite~random	('infinite~random',)
infinite~possibly~random	('possibly~infinite~random',)
infinite~positive~possibly~random	('positive~possibly~infinite~random',)
strictly~variable	('variable~strictly',)
random~strictly~variable	('random~variable~strictly',)
infinite~random~strictly~variable	('infinite~random~variable~strictly',)
increasing~long	('increasing~long',)
increasing~long~strictly	('strictly~increasing~long',)
increasing~long~strictly~variable	('variable~strictly~increasing~long',)
almost~finite	('finite~almost',)
almost~finite~long	('long~finite~almost',)
almost~finite~increasing~long	('increasing~long~finite~almost',)
sure	('sure',)
almost~sure	('almost~sure',)
almost~finite~sure	('finite~almost~sure',)
almost~finite~long~sure	('long~finite~almost~sure',)
spp~symbolically	('symbolically~spp',)
limit~spp~symbolically	('limit~symbolically~spp',)
limit~spp~sure~symbolically	('sure~limit~symbolically~spp',)
sequence~spp~symbolically	('symbolically~spp~sequence',)
limit~sequence~spp~symbolically	('limit~symbolically~spp~sequence',)
random~sequence~spp	('spp~sequence~random',)
random~sequence~spp~symbolically	('symbolically~spp~sequence~random',)
probability~random~sequence~variable	('sequence~random~variable~probability',)
interpreted	('interpreted',)
interpreted~space	('space~interpreted',)
interpreted~probability~space	('probability~space~interpreted',)
interpreted~probability~space~variable	('variable~probability~space~interpreted',)
either~interpreted	('interpreted~either',)
either~interpreted~space	('space~interpreted~either',)
either~interpreted~probability~space	('probability~space~interpreted~either',)
either~time	('either~time',)
either~interpreted~time	('interpreted~either~time',)
either~interpreted~space~time	('space~interpreted~either~time',)
either~point~time	('either~time~point',)
either~interpreted~point~time	('interpreted~either~time~point',)
point~th	('point~th',)
point~th~time	('time~point~th',)
either~point~th~time	('either~time~point~th',)
recording	('recording',)
recording~th	('th~recording',)
point~recording~th	('point~th~recording',)
point~recording~th~time	('time~point~th~recording',)
event~place	('event~place',)
event~place~recording	('recording~event~place',)
event~place~recording~th	('th~recording~event~place',)
indication	('indication',)
indication~place	('place~indication',)
event~indication~place	('event~place~indication',)
event~indication~place~recording	('recording~event~place~indication',)
fewer~indication	('indication~fewer',)
fewer~indication~place	('place~indication~fewer',)
event~fewer~indication~place	('event~place~indication~fewer',)
event~occurred	('event~occurred',)
event~fewer~occurred	('fewer~event~occurred',)
event~fewer~indication~occurred	('indication~fewer~event~occurred',)
altogether	('altogether',)
altogether~occurred	('occurred~altogether',)
altogether~event~occurred	('event~occurred~altogether',)
altogether~event~fewer~occurred	('fewer~event~occurred~altogether',)
altogether~respectively	('altogether~respectively',)
altogether~occurred~respectively	('occurred~altogether~respectively',)
altogether~event~occurred~respectively	('event~occurred~altogether~respectively',)
jacobsen~respectively	('respectively~jacobsen',)
altogether~jacobsen~respectively	('altogether~respectively~jacobsen',)
altogether~jacobsen~occurred~respectively	('occurred~altogether~respectively~jacobsen',)
jacobsen~simple	('jacobsen~simple',)
jacobsen~respectively~simple	('respectively~jacobsen~simple',)
altogether~jacobsen~respectively~simple	('altogether~respectively~jacobsen~simple',)
jacobsen~point~simple	('jacobsen~simple~point',)
jacobsen~point~respectively~simple	('respectively~jacobsen~simple~point',)
jacobsen~point~process~simple	('jacobsen~simple~point~process',)
point~process~simple~time	('simple~point~process~time',)
exciting~point~process~spatial	('exciting~point~process~spatial',)
simpson	('simpson',)
amalgamation	('amalgamation',)
amalgamation~paradox	('paradox~amalgamation',)
amalgamation~paradox~simpson	('simpson~paradox~amalgamation',)
reversal	('reversal',)
paradox~reversal	('paradox~reversal',)
amalgamation~paradox~reversal	('amalgamation~paradox~reversal',)
yule-simpson	('yule-simpson',)
paradox~yule-simpson	('paradox~yule-simpson',)
paradox~reversal~yule-simpson	('reversal~paradox~yule-simpson',)
effect	('effect',)
effect~paradox	('effect~paradox',)
effect~paradox~yule-simpson	('yule-simpson~effect~paradox',)
paradox~statistical	('paradox~statistical',)
effect~paradox~statistical	('effect~paradox~statistical',)
effect~paradox~statistical~yule-simpson	('yule-simpson~effect~paradox~statistical',)
trend	('trend',)
statistical~trend	('statistical~trend',)
paradox~statistical~trend	('paradox~statistical~trend',)
effect~paradox~statistical~trend	('effect~paradox~statistical~trend',)
appear~present	('appear~present',)
appear~present~trend	('trend~appear~present',)
appear~present~statistical~trend	('statistical~trend~appear~present',)
data~present	('present~data',)
appear~data~present	('appear~present~data',)
appear~data~present~trend	('trend~appear~present~data',)
segmented	('segmented',)
data~segmented	('data~segmented',)
data~present~segmented	('present~data~segmented',)
appear~data~present~segmented	('appear~present~data~segmented',)
segmented~separate	('segmented~separate',)
data~segmented~separate	('data~segmented~separate',)
data~present~segmented~separate	('present~data~segmented~separate',)
data~group	('group~data',)
data~group~separate	('separate~group~data',)
data~group~segmented~separate	('segmented~separate~group~data',)
disappears	('disappears',)
data~disappears	('data~disappears',)
data~disappears~group	('group~data~disappears',)
data~disappears~group~separate	('separate~group~data~disappears',)
data~reverse	('reverse~data',)
data~disappears~reverse	('disappears~reverse~data',)
whole	('whole',)
simpson~whole	('whole~simpson',)
data~simpson~whole	('data~whole~simpson',)
data~reverse~simpson~whole	('reverse~data~whole~simpson',)
paradox~simpson	('simpson~paradox',)
paradox~simpson~whole	('whole~simpson~paradox',)
data~paradox~simpson~whole	('data~whole~simpson~paradox',)
arise	('arise',)
arise~paradox	('paradox~arise',)
arise~paradox~simpson	('simpson~paradox~arise',)
arise~paradox~simpson~whole	('whole~simpson~paradox~arise',)
arise~causal	('arise~causal',)
arise~causal~paradox	('paradox~arise~causal',)
arise~causal~paradox~simpson	('simpson~paradox~arise~causal',)
disappears~ignored	('ignored~disappears',)
disappears~ignored~relation	('relation~ignored~disappears',)
causal~disappears~ignored~relation	('causal~relation~ignored~disappears',)
disappears~properly	('disappears~properly',)
disappears~ignored~properly	('ignored~disappears~properly',)
disappears~ignored~properly~relation	('relation~ignored~disappears~properly',)
accounted	('accounted',)
accounted~properly	('properly~accounted',)
accounted~disappears~properly	('disappears~properly~accounted',)
accounted~disappears~ignored~properly	('ignored~disappears~properly~accounted',)
accounted~simpson	('accounted~simpson',)
accounted~properly~simpson	('properly~accounted~simpson',)
accounted~disappears~properly~simpson	('disappears~properly~accounted~simpson',)
accounted~paradox~simpson	('accounted~simpson~paradox',)
accounted~paradox~properly~simpson	('properly~accounted~simpson~paradox',)
paradox~probability~simpson	('simpson~paradox~probability',)
accounted~paradox~probability~simpson	('accounted~simpson~paradox~probability',)
asks~problem~world	('world~problem~asks',)
asks~problem~small~world	('small~world~problem~asks',)
asks~probability	('asks~probability',)
asks~probability~problem	('problem~asks~probability',)
asks~probability~problem~world	('world~problem~asks~probability',)
asks~probability~two	('asks~probability~two',)
asks~probability~problem~two	('problem~asks~probability~two',)
asks~people~probability~two	('asks~probability~two~people',)
people~picked	('people~picked',)
people~picked~two	('two~people~picked',)
people~picked~probability~two	('probability~two~people~picked',)
picked~random	('picked~random',)
people~picked~random	('people~picked~random',)
people~picked~random~two	('two~people~picked~random',)
least~random	('random~least',)
least~picked~random	('picked~random~least',)
least~people~picked~random	('people~picked~random~least',)
least~one~random	('random~least~one',)
least~one~picked~random	('picked~random~least~one',)
acquaintance	('acquaintance',)
acquaintance~one	('one~acquaintance',)
acquaintance~least~one	('least~one~acquaintance',)
acquaintance~least~one~random	('random~least~one~acquaintance',)
common~small	('common~small',)
acquaintance~common~small	('acquaintance~common~small',)
acquaintance~common~one~small	('one~acquaintance~common~small',)
common~small~world	('common~small~world',)
acquaintance~common~small~world	('acquaintance~common~small~world',)
common~problem~small~world	('common~small~world~problem',)
probability~problem~world	('world~problem~probability',)
probability~problem~small~world	('small~world~problem~probability',)
birthday~probability~problem~world	('world~problem~probability~birthday',)
problem~small	('problem~small',)
birthday~problem~small	('birthday~problem~small',)
birthday~probability~problem~small	('probability~birthday~problem~small',)
birthday~problem~small~world	('birthday~problem~small~world',)
network	('network',)
network~world	('world~network',)
network~small~world	('small~world~network',)
network~problem~small~world	('problem~small~world~network',)
data~model	('model~data',)
data~model~process	('process~model~data',)
data~model~point~process	('point~process~model~data',)
localized	('localized',)
data~localized	('data~localized',)
data~localized~model	('model~data~localized',)
data~localized~model~process	('process~model~data~localized',)
discrete~localized	('localized~discrete',)
data~discrete~localized	('data~localized~discrete',)
data~discrete~localized~model	('model~data~localized~discrete',)
locations	('locations',)
locations~set	('set~locations',)
discrete~locations~set	('discrete~set~locations',)
discrete~localized~locations~set	('localized~discrete~set~locations',)
plane~spatial	('plane~spatial',)
plane~spatial~specifically	('specifically~plane~spatial',)
plane~space~spatial~specifically	('space~specifically~plane~spatial',)
plane~point~spatial	('plane~spatial~point',)
plane~point~spatial~specifically	('specifically~plane~spatial~point',)
plane~point~process~spatial	('plane~spatial~point~process',)
point~probability~process~spatial	('spatial~point~process~probability',)
marked~probability	('probability~marked',)
marked~probability~process	('process~probability~marked',)
marked~point~probability~process	('point~process~probability~marked',)
marked~point~probability	('probability~marked~point',)
spatial-temporal	('spatial-temporal',)
point~spatial-temporal	('spatial-temporal~point',)
point~process~spatial-temporal	('spatial-temporal~point~process',)
locations~space	('locations~space',)
locations~set~space	('set~locations~space',)
discrete~locations~set~space	('discrete~set~locations~space',)
particular~spatial-temporal	('particular~spatial-temporal',)
particular~spatial-temporal~time	('time~particular~spatial-temporal',)
particular~space~spatial-temporal~time	('space~time~particular~spatial-temporal',)
particular~point~spatial-temporal	('particular~spatial-temporal~point',)
particular~point~spatial-temporal~time	('time~particular~spatial-temporal~point',)
particular~point~process~spatial-temporal	('particular~spatial-temporal~point~process',)
collection~process~random	('process~random~collection',)
collection~point~process~random	('point~process~random~collection',)
collection~point	('collection~point',)
collection~point~random	('random~collection~point',)
represent~time	('represent~time',)
point~represent~time	('point~represent~time',)
location	('location',)
location~time	('time~location',)
location~represent~time	('represent~time~location',)
location~point~represent~time	('point~represent~time~location',)
event~spatial-temporal	('event~spatial-temporal',)
event~location~spatial-temporal	('location~event~spatial-temporal',)
event~location~spatial-temporal~time	('time~location~event~spatial-temporal',)
