analysis	{'statistic': 25, 'statistical': 22, 'series': 19, 'time': 19, 'time-series': 12, 'data': 8, 'process': 7, 'order': 6, 'relative': 5, 'class': 5, 'point': 5, 'test': 5, 'mean': 5, 'function': 4, 'absolute': 4, 'distribution': 3, 'error': 3, 'problem': 3, 'least': 3, 'variance': 3, 'observed': 2, 'parameter': 2, 'unit': 2, 'probability': 2, 'value': 2, 'variate': 2, 'pp': 2, 'moment': 2, 'multivariate': 2, 'hypothesis': 2, 'maximum': 1, 'one': 1, 'average': 1, 'equal': 1, 'raw': 1}
pearson	{'coefficient': 23, 'correlation': 17, 'distribution': 8, 'mode': 5, 'equal': 5, 'skewness': 5, 'deviation': 5, 'standard': 4, 'variate': 4, 'bivariate': 4, 'value': 3, 'table': 3, 'line': 3, 'median': 3, 'type': 3, 'sum': 3, 'linear': 3, 'statistical': 2, 'range': 2, 'data': 2, 'following': 2, 'variable': 2, 'statistic': 2, 'equation': 2, 'square': 2, 'random': 1, 'most': 1, 'quartile': 1, 'sample': 1, 'mean': 1, 'kurtosis': 1, 'quantity': 1, 'normal': 1, 'moment': 1, 'binomial': 1}
ratio	{'distribution': 16, 'function': 15, 'sum': 15, 'normal': 11, 'uniform': 7, 'continuous': 7, 'variate': 7, 'likelihood': 6, 'probability': 6, 'value': 6, 'coefficient': 6, 'test': 6, 'independent': 5, 'mean': 5, 'processes': 5, 'process': 5, 'stochastic': 5, 'statistic': 4, 'equation': 4, 'maximum': 3, 'density': 3, 'error': 3, 'size': 3, 'formula': 3, 'order': 3, 'same': 3, 'type': 3, 'variance': 3, 'integral': 3, 'intensity': 3, 'absolute': 2, 'descriptive': 2, 'above': 2, 'most': 2, 'interval': 2, 'characteristic': 2, 'step': 2, 'matrix': 2, 'curve': 2, 'small': 2, 'distribution~continuous': 2, 'data': 1, 'class': 1, 'cumulative': 1, 'measure': 1, 'set': 1, 'one': 1, 'out': 1, 'central': 1, 'definition': 1, 'case': 1, 'pp': 1, 'plot': 1, 'observation': 1, 'quantity': 1, 'trial': 1, 'inverse': 1, 'gamma': 1, 'distributed': 1}
size	{'sample': 27, 'equal': 24, 'type': 13, 'order': 12, 'mean': 11, 'statistic': 9, 'process': 8, 'curve': 7, 'set': 6, 'out': 6, 'statistical': 5, 'data': 5, 'class': 5, 'cumulative': 5, 'deviation': 5, 'large': 5, 'estimate': 4, 'standard': 4, 'measure': 4, 'quartile': 4, 'matrix': 4, 'distribution': 3, 'first': 3, 'expected': 3, 'one': 3, 'real': 3, 'random': 3, 'most': 3, 'definition': 3, 'problem': 3, 'ratio': 3, 'quantities': 3, 'small': 3, 'sum': 3, 'constant': 3, 'value': 2, 'line': 2, 'pp': 2, 'observation': 2, 'normal': 2, 'variance': 2, 'range': 1, 'function': 1, 'limit': 1, 'least': 1, 'variable': 1, 'step': 1, 'raw': 1, 'general': 1, 'binomial': 1, 'length': 1}
characteristic	{'function': 12, 'set': 12, 'one': 6, 'large': 6, 'class': 4, 'probability': 3, 'series': 3, 'skewness': 3, 'case': 3, 'moment': 3, 'ratio': 2, 'variable': 2, 'raw': 2, 'use': 2, 'normal': 2, 'distribution': 1, 'common': 1, 'uniform': 1, 'random': 1, 'density': 1, 'mean': 1, 'pp': 1}
kenney	{'distribution': 11, 'class': 6, 'normal': 5, 'expectation': 4, 'beta': 4, 'statistical': 3, 'standard': 3, 'measure': 3, 'statistic': 3, 'unbiased': 3, 'pp': 3, 'deviation': 3, 'regression': 3, 'estimator': 3, 'equation': 3, 'moment': 3, 'index': 3, 'correlation': 3, 'value': 2, 'different': 2, 'central': 2, 'variate': 2, 'curve': 2, 'median': 2, 'degree': 2, 'kurtosis': 2, 'general': 2, 'bernoulli': 2, 'multivariate': 2, 'range': 1, 'probability': 1, 'frequency': 1, 'set': 1, 'limit': 1, 'skewness': 1, 'sample': 1, 'chi-squared': 1, 'variance': 1, 'square': 1}
least	{'one': 30, 'square': 17, 'probability': 16, 'fitting': 14, 'line': 11, 'set': 10, 'regression': 10, 'function': 7, 'curve': 7, 'different': 6, 'random': 6, 'point': 6, 'variable': 6, 'correlation': 6, 'common': 5, 'most': 5, 'conditional': 5, 'normal': 5, 'sum': 5, 'linear': 5, 'value': 4, 'first': 4, 'test': 4, 'observation': 4, 'process': 4, 'analysis': 3, 'distribution': 3, 'absolute': 3, 'out': 3, 'series': 3, 'example': 3, 'error': 3, 'problem': 3, 'coefficient': 3, 'chi-squared': 3, 'use': 3, 'expectation': 3, 'distributed': 3, 'length': 3, 'range': 2, 'law': 2, 'matrix': 2, 'mean': 2, 'pp': 2, 'true': 2, 'time': 2, 'trial': 2, 'equation': 2, 'inverse': 2, 'moment': 2, 'time-series': 2, 'statistical': 1, 'parameter': 1, 'frequency': 1, 'measure': 1, 'table': 1, 'method': 1, 'definition': 1, 'size': 1, 'order': 1, 'statistic': 1, 'difference': 1, 'quantity': 1, 'processes': 1, 'integral': 1, 'intensity': 1, 'hypothesis': 1}
sample	{'variance': 53, 'moment': 40, 'mean': 37, 'population': 36, 'central': 34, 'set': 27, 'size': 27, 'statistic': 25, 'raw': 23, 'value': 20, 'distribution': 17, 'standard': 15, 'space': 13, 'out': 11, 'random': 11, 'second': 11, 'normal': 11, 'probability': 10, 'statistical': 9, 'estimate': 9, 'order': 9, 'deviation': 9, 'observed': 7, 'data': 6, 'measure': 6, 'first': 6, 'estimator': 6, 'function': 5, 'cumulative': 5, 'equal': 5, 'test': 5, 'variate': 5, 'unbiased': 5, 'same': 5, 'quantity': 5, 'event': 4, 'expected': 4, 'limit': 4, 'definition': 4, 'interval': 4, 'type': 4, 'large': 4, 'sum': 4, 'unit': 3, 'statistics': 3, 'example': 3, 'above': 3, 'error': 3, 'most': 3, 'skewness': 3, 'use': 3, 'observation': 3, 'true': 3, 'expectation': 3, 'equation': 3, 'process': 3, 'coin': 3, 'relative': 2, 'common': 2, 'one': 2, 'real': 2, 'method': 2, 'discrete': 2, 'regression': 2, 'inverse': 2, 'correlation': 2, 'distributed': 2, 'run': 2, 'mode': 1, 'digit': 1, 'different': 1, 'density': 1, 'point': 1, 'pearson': 1, 'kenney': 1, 'quantities': 1, 'pp': 1, 'median': 1, 'rank': 1}
quantities	{'set': 18, 'mean': 14, 'statistical': 11, 'statistic': 11, 'absolute': 5, 'order': 5, 'line': 5, 'linear': 5, 'point': 4, 'pp': 4, 'estimate': 3, 'value': 3, 'first': 3, 'different': 3, 'error': 3, 'size': 3, 'step': 3, 'degree': 3, 'length': 3, 'run': 3, 'random': 2, 'equal': 2, 'process': 2, 'function': 1, 'probability': 1, 'class': 1, 'digit': 1, 'sample': 1, 'formula': 1, 'difference': 1, 'true': 1, 'correlation': 1}
conditional	{'process': 15, 'intensity': 13, 'probability': 11, 'point': 9, 'expectation': 9, 'random': 8, 'independent': 6, 'processes': 6, 'least': 5, 'time': 5, 'regression': 5, 'set': 4, 'mean': 4, 'unit': 3, 'event': 3, 'sum': 3, 'markov': 3, 'function': 2, 'sequence': 2, 'variable': 2, 'pp': 2, 'statistical': 1, 'relative': 1, 'measure': 1, 'expected': 1, 'one': 1, 'series': 1, 'equal': 1, 'statistic': 1, 'time-series': 1}
formula	{'time': 23, 'variate': 12, 'different': 7, 'difference': 6, 'multivariate': 6, 'central': 5, 'one': 3, 'error': 3, 'ratio': 3, 'bernoulli': 3, 'population': 2, 'mean': 2, 'plot': 2, 'small': 2, 'poisson': 2, 'process': 2, 'probability': 1, 'absolute': 1, 'above': 1, 'equal': 1, 'quantities': 1, 'step': 1, 'run': 1}
test	{'statistic': 130, 'statistical': 115, 'hypothesis': 36, 'distribution': 25, 'equal': 15, 'probability': 14, 'use': 14, 'true': 12, 'value': 11, 'random': 11, 'observed': 10, 'mean': 10, 'different': 9, 'method': 9, 'rank': 9, 'type': 9, 'sum': 8, 'one': 7, 'cumulative': 6, 'real': 6, 'table': 6, 'ratio': 6, 'observation': 6, 'analysis': 5, 'error': 5, 'sample': 5, 'normal': 5, 'variance': 5, 'likelihood': 4, 'most': 4, 'least': 4, 'process': 4, 'frequency': 3, 'density': 3, 'plot': 3, 'quantity': 3, 'estimate': 2, 'function': 2, 'second': 2, 'matrix': 2, 'difference': 2, 'pp': 2, 'gamma': 2, 'common': 1, 'range': 1, 'data': 1, 'statistics': 1, 'set': 1, 'expected': 1, 'example': 1, 'above': 1, 'following': 1, 'continuous': 1, 'variate': 1, 'multivariate': 1, 'distributed': 1}
case	{'distribution': 12, 'limit': 8, 'variate': 8, 'general': 8, 'normal': 7, 'random': 6, 'problem': 6, 'sequence': 5, 'point': 5, 'probability': 4, 'frequency': 4, 'curve': 4, 'mode': 3, 'set': 3, 'one': 3, 'characteristic': 3, 'variable': 3, 'event': 2, 'independent': 2, 'discrete': 2, 'bivariate': 2, 'distributed': 2, 'observed': 1, 'data': 1, 'class': 1, 'population': 1, 'ratio': 1, 'continuous': 1, 'variance': 1, 'inverse': 1, 'covariance': 1, 'binomial': 1, 'multivariate': 1, 'gamma': 1, 'run': 1, 'space': 1}
independent	{'random': 32, 'normal': 21, 'set': 18, 'variate': 16, 'distribution': 15, 'sequence': 10, 'distributed': 10, 'probability': 7, 'event': 6, 'limit': 6, 'conditional': 6, 'variable': 6, 'variance': 6, 'process': 6, 'function': 5, 'central': 5, 'ratio': 5, 'observation': 5, 'correlation': 5, 'one': 4, 'point': 4, 'coefficient': 4, 'continuous': 4, 'difference': 4, 'time': 4, 'equation': 4, 'standard': 3, 'most': 3, 'interval': 3, 'statistic': 3, 'theorem': 3, 'covariance': 3, 'processes': 3, 'index': 3, 'binomial': 3, 'statistical': 2, 'estimate': 2, 'common': 2, 'data': 2, 'likelihood': 2, 'value': 2, 'density': 2, 'case': 2, 'second': 2, 'mean': 2, 'general': 2, 'expectation': 2, 'sum': 2, 'bivariate': 2, 'relative': 1, 'uniform': 1, 'law': 1, 'expected': 1, 'example': 1, 'chi-squared': 1, 'matrix': 1, 'unbiased': 1, 'same': 1, 'degree': 1, 'large': 1, 'estimator': 1, 'square': 1, 'stochastic': 1, 'coin': 1}
chi-squared	{'square': 67, 'distribution': 28, 'central': 11, 'beta': 7, 'table': 6, 'degree': 6, 'parameter': 5, 'type': 4, 'normal': 4, 'distributed': 4, 'least': 3, 'gamma': 3, 'statistical': 2, 'function': 2, 'class': 2, 'first': 2, 'limit': 2, 'continuous': 2, 'statistic': 2, 'distribution~continuous': 2, 'frequency': 1, 'kenney': 1, 'independent': 1, 'variable': 1, 'variate': 1, 'variance': 1, 'correlation': 1}
variable	{'random': 51, 'distribution': 34, 'normal': 27, 'function': 25, 'variate': 24, 'observed': 16, 'probability': 15, 'value': 14, 'continuous': 13, 'pp': 13, 'bivariate': 10, 'variance': 9, 'statistic': 8, 'statistical': 7, 'multivariate': 7, 'beta': 7, 'least': 6, 'independent': 6, 'discrete': 6, 'fitting': 6, 'most': 5, 'point': 5, 'large': 5, 'expectation': 5, 'relative': 4, 'uniform': 4, 'set': 4, 'one': 4, 'different': 4, 'difference': 4, 'theorem': 4, 'general': 4, 'observation': 4, 'sum': 4, 'covariance': 4, 'binomial': 4, 'space': 4, 'range': 3, 'series': 3, 'case': 3, 'time': 3, 'correlation': 3, 'distributed': 3, 'estimate': 2, 'frequency': 2, 'out': 2, 'above': 2, 'density': 2, 'table': 2, 'sequence': 2, 'definition': 2, 'pearson': 2, 'characteristic': 2, 'conditional': 2, 'order': 2, 'curve': 2, 'degree': 2, 'deviation': 2, 'bernoulli': 2, 'index': 2, 'standard': 1, 'maximum': 1, 'cumulative': 1, 'expected': 1, 'size': 1, 'chi-squared': 1, 'raw': 1, 'mean': 1, 'regression': 1, 'square': 1, 'exponential': 1, 'time-series': 1}
step	{'equal': 26, 'random': 23, 'probability': 18, 'length': 15, 'one': 14, 'discrete': 13, 'walk': 10, 'uniform': 6, 'function': 6, 'value': 4, 'out': 4, 'sequence': 4, 'point': 4, 'difference': 4, 'quantities': 3, 'plot': 3, 'time': 3, 'most': 2, 'ratio': 2, 'line': 2, 'pp': 2, 'markov': 2, 'distribution': 1, 'unit': 1, 'absolute': 1, 'set': 1, 'first': 1, 'series': 1, 'above': 1, 'following': 1, 'size': 1, 'formula': 1, 'order': 1, 'poisson': 1}
continuous	{'distribution': 125, 'distribution~continuous': 50, 'normal': 29, 'variate': 19, 'function': 18, 'uniform': 17, 'time': 15, 'sum': 14, 'set': 13, 'variable': 13, 'cumulative': 12, 'probability': 10, 'bivariate': 10, 'statistical': 9, 'statistic': 9, 'range': 8, 'difference': 8, 'different': 7, 'random': 7, 'ratio': 7, 'line': 6, 'mean': 6, 'first': 5, 'central': 5, 'pp': 5, 'stochastic': 5, 'space': 5, 'relative': 4, 'parameter': 4, 'frequency': 4, 'value': 4, 'out': 4, 'density': 4, 'independent': 4, 'discrete': 4, 'curve': 4, 'theorem': 4, 'general': 4, 'type': 4, 'square': 4, 'multivariate': 4, 'standard': 3, 'absolute': 3, 'law': 3, 'expected': 3, 'one': 3, 'limit': 3, 'coefficient': 3, 'fitting': 3, 'variance': 3, 'inverse': 3, 'walk': 3, 'binomial': 3, 'beta': 3, 'exponential': 3, 'error': 2, 'chi-squared': 2, 'equation': 2, 'observed': 1, 'common': 1, 'table': 1, 'following': 1, 'test': 1, 'case': 1, 'second': 1, 'deviation': 1, 'quantity': 1, 'large': 1, 'expectation': 1, 'small': 1, 'poisson': 1, 'process': 1, 'correlation': 1, 'gamma': 1, 'distributed': 1}
second	{'distribution': 11, 'sample': 11, 'central': 9, 'probability': 8, 'variance': 8, 'mean': 6, 'order': 5, 'statistical': 4, 'standard': 4, 'statistic': 4, 'function': 3, 'maximum': 3, 'first': 3, 'equal': 3, 'matrix': 3, 'raw': 3, 'moment': 3, 'density': 2, 'test': 2, 'independent': 2, 'variate': 2, 'pp': 2, 'large': 2, 'normal': 2, 'process': 2, 'run': 2, 'value': 1, 'one': 1, 'above': 1, 'random': 1, 'continuous': 1, 'inverse': 1, 'poisson': 1}
order	{'statistic': 29, 'data': 15, 'set': 14, 'value': 13, 'random': 13, 'size': 12, 'observation': 12, 'statistical': 11, 'estimate': 11, 'time': 10, 'sample': 9, 'range': 8, 'large': 8, 'most': 7, 'point': 7, 'analysis': 6, 'series': 6, 'matrix': 6, 'variate': 6, 'pp': 6, 'descriptive': 5, 'quantities': 5, 'second': 5, 'curve': 5, 'mean': 5, 'median': 5, 'cumulative': 4, 'sum': 4, 'observed': 3, 'common': 3, 'probability': 3, 'ratio': 3, 'line': 3, 'use': 3, 'rank': 3, 'general': 3, 'time-series': 3, 'function': 2, 'class': 2, 'absolute': 2, 'central': 2, 'equal': 2, 'variable': 2, 'same': 2, 'distribution': 1, 'first': 1, 'expected': 1, 'real': 1, 'following': 1, 'sequence': 1, 'coefficient': 1, 'least': 1, 'step': 1, 'degree': 1, 'type': 1, 'index': 1, 'binomial': 1, 'correlation': 1}
matrix	{'random': 27, 'inverse': 27, 'type': 21, 'probability': 17, 'stochastic': 15, 'general': 11, 'large': 11, 'equation': 10, 'markov': 9, 'distribution': 8, 'set': 8, 'variate': 7, 'normal': 7, 'real': 6, 'order': 6, 'function': 5, 'variance': 5, 'covariance': 5, 'square': 5, 'size': 4, 'observed': 3, 'point': 3, 'second': 3, 'sum': 3, 'statistical': 2, 'out': 2, 'equal': 2, 'ratio': 2, 'least': 2, 'test': 2, 'statistic': 2, 'same': 2, 'range': 1, 'value': 1, 'first': 1, 'expected': 1, 'one': 1, 'most': 1, 'problem': 1, 'independent': 1, 'use': 1, 'quantity': 1, 'multivariate': 1, 'correlation': 1, 'constant': 1, 'length': 1}
raw	{'sample': 23, 'moment': 20, 'data': 14, 'plot': 9, 'distribution': 8, 'function': 8, 'mean': 8, 'central': 7, 'absolute': 6, 'variate': 6, 'expectation': 5, 'probability': 4, 'value': 4, 'point': 4, 'cumulant': 4, 'random': 3, 'density': 3, 'quartile': 3, 'second': 3, 'use': 3, 'statistic': 3, 'unbiased': 3, 'quantity': 3, 'normal': 3, 'small': 3, 'multivariate': 3, 'statistical': 2, 'relative': 2, 'frequency': 2, 'descriptive': 2, 'first': 2, 'sequence': 2, 'characteristic': 2, 'beta': 2, 'analysis': 1, 'maximum': 1, 'population': 1, 'method': 1, 'size': 1, 'variable': 1, 'discrete': 1, 'variance': 1, 'sum': 1, 'inverse': 1}
discrete	{'distribution': 63, 'value': 23, 'sequence': 14, 'set': 13, 'step': 13, 'variate': 13, 'binomial': 13, 'probability': 11, 'uniform': 9, 'function': 9, 'point': 8, 'statistic': 8, 'random': 7, 'mean': 7, 'walk': 7, 'variable': 6, 'line': 6, 'time': 6, 'statistical': 5, 'out': 5, 'cumulative': 4, 'continuous': 4, 'deviation': 4, 'bernoulli': 4, 'common': 3, 'absolute': 3, 'first': 3, 'expected': 3, 'one': 3, 'large': 3, 'poisson': 3, 'space': 3, 'data': 2, 'parameter': 2, 'frequency': 2, 'event': 2, 'table': 2, 'population': 2, 'coefficient': 2, 'sample': 2, 'case': 2, 'markov': 2, 'process': 2, 'beta': 2, 'constant': 2, 'coin': 2, 'relative': 1, 'unit': 1, 'series': 1, 'oeis': 1, 'most': 1, 'raw': 1, 'same': 1, 'expectation': 1, 'square': 1, 'correlation': 1, 'exponential': 1}
variate	{'multivariate': 146, 'distribution': 131, 'bivariate': 115, 'normal': 98, 'mean': 57, 'random': 56, 'probability': 45, 'function': 37, 'value': 28, 'variance': 27, 'variable': 24, 'process': 24, 'continuous': 19, 'statistic': 18, 'processes': 18, 'independent': 16, 'point': 15, 'distributed': 15, 'uniform': 14, 'sequence': 14, 'pp': 14, 'covariance': 14, 'discrete': 13, 'correlation': 13, 'formula': 12, 'density': 11, 'general': 11, 'different': 10, 'limit': 10, 'coefficient': 10, 'range': 9, 'central': 9, 'sum': 9, 'moment': 9, 'statistical': 8, 'one': 8, 'interval': 8, 'case': 8, 'ratio': 7, 'matrix': 7, 'order': 6, 'raw': 6, 'difference': 6, 'large': 6, 'data': 5, 'absolute': 5, 'first': 5, 'population': 5, 'equal': 5, 'sample': 5, 'expectation': 5, 'markov': 5, 'binomial': 5, 'standard': 4, 'frequency': 4, 'pearson': 4, 'use': 4, 'regression': 4, 'event': 3, 'measure': 3, 'set': 3, 'out': 3, 'theorem': 3, 'type': 3, 'quantity': 3, 'square': 3, 'distribution~continuous': 3, 'analysis': 2, 'estimate': 2, 'common': 2, 'parameter': 2, 'cumulative': 2, 'law': 2, 'example': 2, 'definition': 2, 'kenney': 2, 'second': 2, 'line': 2, 'unbiased': 2, 'rank': 2, 'time': 2, 'estimator': 2, 'cumulant': 2, 'linear': 2, 'observed': 1, 'unit': 1, 'statistics': 1, 'most': 1, 'test': 1, 'chi-squared': 1, 'plot': 1, 'deviation': 1, 'small': 1, 'bernoulli': 1, 'integral': 1, 'gamma': 1, 'beta': 1, 'exponential': 1, 'hypothesis': 1}
line	{'linear': 125, 'set': 21, 'probability': 15, 'least': 11, 'length': 11, 'one': 10, 'fitting': 10, 'regression': 10, 'first': 8, 'normal': 7, 'sum': 7, 'square': 7, 'event': 6, 'point': 6, 'continuous': 6, 'discrete': 6, 'general': 6, 'distribution': 5, 'value': 5, 'quantities': 5, 'statistic': 5, 'degree': 5, 'correlation': 5, 'function': 4, 'parameter': 4, 'equal': 4, 'most': 4, 'processes': 4, 'process': 4, 'statistical': 3, 'uniform': 3, 'absolute': 3, 'pearson': 3, 'order': 3, 'curve': 3, 'plot': 3, 'variance': 3, 'trial': 3, 'walk': 3, 'data': 2, 'frequency': 2, 'cumulative': 2, 'random': 2, 'size': 2, 'step': 2, 'variate': 2, 'difference': 2, 'pp': 2, 'type': 2, 'space': 2, 'common': 1, 'out': 1, 'real': 1, 'method': 1, 'coefficient': 1, 'median': 1, 'rank': 1}
use	{'statistic': 22, 'uniform': 15, 'test': 14, 'distribution': 8, 'point': 7, 'mean': 7, 'variance': 7, 'value': 6, 'random': 6, 'error': 6, 'pp': 6, 'function': 5, 'probability': 5, 'set': 5, 'one': 5, 'hypothesis': 5, 'variate': 4, 'sum': 4, 'least': 3, 'sample': 3, 'order': 3, 'raw': 3, 'type': 3, 'inverse': 3, 'process': 3, 'statistical': 2, 'population': 2, 'sequence': 2, 'characteristic': 2, 'normal': 2, 'expectation': 2, 'covariance': 2, 'mode': 1, 'standard': 1, 'absolute': 1, 'different': 1, 'equal': 1, 'problem': 1, 'matrix': 1, 'curve': 1, 'plot': 1, 'space': 1}
curve	{'fitting': 47, 'set': 37, 'point': 32, 'function': 25, 'sum': 18, 'cumulative': 13, 'frequency': 9, 'measure': 9, 'limit': 8, 'statistic': 8, 'data': 7, 'one': 7, 'size': 7, 'least': 7, 'regression': 6, 'correlation': 6, 'distribution': 5, 'equal': 5, 'most': 5, 'order': 5, 'case': 4, 'continuous': 4, 'value': 3, 'above': 3, 'density': 3, 'error': 3, 'method': 3, 'line': 3, 'pp': 3, 'degree': 3, 'deviation': 3, 'quantity': 3, 'square': 3, 'statistical': 2, 'common': 2, 'parameter': 2, 'probability': 2, 'maximum': 2, 'descriptive': 2, 'expected': 2, 'ratio': 2, 'kenney': 2, 'variable': 2, 'equation': 2, 'observed': 1, 'relative': 1, 'different': 1, 'use': 1, 'mean': 1, 'linear': 1, 'index': 1}
statistic	{'statistical': 763, 'test': 130, 'distribution': 117, 'statistics': 58, 'mean': 58, 'probability': 32, 'order': 29, 'median': 29, 'descriptive': 28, 'type': 27, 'set': 26, 'sum': 26, 'analysis': 25, 'function': 25, 'sample': 25, 'variance': 25, 'method': 22, 'use': 22, 'hypothesis': 22, 'plot': 19, 'rank': 19, 'value': 18, 'variate': 18, 'observation': 18, 'general': 15, 'normal': 14, 'data': 13, 'random': 13, 'true': 13, 'most': 12, 'quantities': 11, 'observed': 10, 'cumulative': 10, 'central': 10, 'frequency': 9, 'one': 9, 'table': 9, 'size': 9, 'continuous': 9, 'parameter': 8, 'absolute': 8, 'measure': 8, 'variable': 8, 'discrete': 8, 'curve': 8, 'pp': 8, 'relative': 7, 'first': 7, 'error': 7, 'equal': 7, 'deviation': 7, 'index': 7, 'run': 7, 'mode': 6, 'different': 6, 'interval': 6, 'difference': 6, 'trial': 6, 'cumulant': 6, 'range': 5, 'expected': 5, 'coefficient': 5, 'line': 5, 'regression': 5, 'small': 5, 'linear': 5, 'multivariate': 5, 'correlation': 5, 'bivariate': 5, 'likelihood': 4, 'class': 4, 'out': 4, 'limit': 4, 'ratio': 4, 'second': 4, 'square': 4, 'moment': 4, 'bernoulli': 4, 'integral': 4, 'beta': 4, 'estimate': 3, 'standard': 3, 'real': 3, 'density': 3, 'population': 3, 'average': 3, 'quartile': 3, 'kenney': 3, 'independent': 3, 'raw': 3, 'gamma': 3, 'uniform': 2, 'unit': 2, 'confidence': 2, 'maximum': 2, 'event': 2, 'digit': 2, 'example': 2, 'definition': 2, 'point': 2, 'skewness': 2, 'pearson': 2, 'chi-squared': 2, 'matrix': 2, 'theorem': 2, 'degree': 2, 'quantity': 2, 'estimator': 2, 'distributed': 2, 'law': 1, 'above': 1, 'following': 1, 'least': 1, 'conditional': 1, 'covariance': 1, 'poisson': 1, 'process': 1, 'distribution~continuous': 1}
mean	{'variance': 66, 'distribution': 58, 'statistic': 58, 'variate': 57, 'deviation': 54, 'sample': 37, 'absolute': 36, 'statistical': 33, 'normal': 27, 'square': 27, 'value': 25, 'sequence': 23, 'equal': 23, 'standard': 21, 'set': 21, 'random': 19, 'regression': 19, 'population': 17, 'data': 16, 'probability': 16, 'quantities': 14, 'difference': 14, 'sum': 14, 'different': 13, 'measure': 12, 'moment': 12, 'descriptive': 11, 'central': 11, 'interval': 11, 'size': 11, 'pp': 11, 'test': 10, 'confidence': 9, 'one': 9, 'raw': 8, 'distributed': 8, 'observed': 7, 'common': 7, 'uniform': 7, 'mode': 7, 'limit': 7, 'following': 7, 'discrete': 7, 'use': 7, 'out': 6, 'continuous': 6, 'second': 6, 'plot': 6, 'large': 6, 'walk': 6, 'stochastic': 6, 'multivariate': 6, 'analysis': 5, 'parameter': 5, 'class': 5, 'event': 5, 'first': 5, 'table': 5, 'definition': 5, 'ratio': 5, 'order': 5, 'general': 5, 'function': 4, 'conditional': 4, 'unbiased': 4, 'expectation': 4, 'binomial': 4, 'relative': 3, 'unit': 3, 'example': 3, 'error': 3, 'index': 3, 'exponential': 3, 'length': 3, 'law': 2, 'expected': 2, 'density': 2, 'least': 2, 'formula': 2, 'independent': 2, 'same': 2, 'median': 2, 'rank': 2, 'type': 2, 'quantity': 2, 'estimator': 2, 'covariance': 2, 'cumulant': 2, 'method': 1, 'skewness': 1, 'pearson': 1, 'characteristic': 1, 'variable': 1, 'curve': 1, 'observation': 1, 'true': 1, 'time': 1, 'inverse': 1, 'bernoulli': 1, 'bivariate': 1, 'beta': 1}
difference	{'distribution': 18, 'mean': 14, 'uniform': 9, 'measure': 8, 'continuous': 8, 'interval': 7, 'plot': 7, 'statistical': 6, 'formula': 6, 'variate': 6, 'statistic': 6, 'quantity': 6, 'distributed': 6, 'normal': 5, 'function': 4, 'absolute': 4, 'cumulative': 4, 'expected': 4, 'random': 4, 'sequence': 4, 'independent': 4, 'variable': 4, 'step': 4, 'sum': 4, 'estimate': 3, 'series': 3, 'central': 3, 'error': 3, 'method': 3, 'observation': 3, 'distribution~continuous': 3, 'value': 2, 'density': 2, 'population': 2, 'equal': 2, 'test': 2, 'line': 2, 'pp': 2, 'rank': 2, 'time': 2, 'linear': 2, 'range': 1, 'data': 1, 'probability': 1, 'descriptive': 1, 'above': 1, 'point': 1, 'least': 1, 'quantities': 1, 'deviation': 1, 'small': 1, 'square': 1, 'process': 1}
unbiased	{'estimator': 13, 'sample': 5, 'problem': 4, 'mean': 4, 'distribution': 3, 'population': 3, 'kenney': 3, 'raw': 3, 'function': 2, 'variate': 2, 'variance': 2, 'square': 2, 'cumulant': 2, 'central': 1, 'independent': 1, 'observation': 1, 'normal': 1, 'moment': 1}
same	{'set': 7, 'probability': 6, 'distribution': 5, 'sample': 5, 'trial': 4, 'observed': 3, 'one': 3, 'method': 3, 'ratio': 3, 'data': 2, 'value': 2, 'random': 2, 'sequence': 2, 'point': 2, 'quartile': 2, 'order': 2, 'matrix': 2, 'mean': 2, 'pp': 2, 'type': 2, 'length': 2, 'out': 1, 'central': 1, 'independent': 1, 'discrete': 1, 'plot': 1, 'variance': 1, 'run': 1}
