bayesian	{'0': 7, '94': 1, '234': 1, '459': 1}
equally~likely	{'233': 1, '541': 1}
event~equally~likely	{'233': 1}
compared~event~equally~likely	{'233': 1}
keynes	{'233': 2}
first~principle	{'233': 1}
enunciated~principle	{'233': 1}
first~enunciated~principle	{'233': 1}
indifference	{'233': 1}
formulating	{'233': 1}
bernoulli~formulating	{'233': 1}
jakob~bernoulli~formulating	{'233': 1}
enunciated~jakob~bernoulli~formulating	{'233': 1}
ignorant~no	{'233': 1}
bernoulli~ignorant~no	{'233': 1}
jakob~bernoulli~ignorant~no	{'233': 1}
ways~reason	{'233': 1}
ignorant~ways~reason	{'233': 1}
bernoulli~ignorant~ways~reason	{'233': 1}
predicating	{'233': 1}
event~predicating	{'233': 1}
ways~event~predicating	{'233': 1}
ignorant~ways~event~predicating	{'233': 1}
our	{'233': 1}
no~our	{'233': 1}
event~no~our	{'233': 1}
ways~event~no~our	{'233': 1}
reason~subject	{'233': 1}
no~reason~subject	{'233': 1}
event~no~reason~subject	{'233': 1}
one~several	{'233': 1, '575': 1}
believe~one~several	{'233': 1}
reason~believe~one~several	{'233': 1}
compared~relatively	{'233': 1}
preferentially~compared~relatively	{'233': 1}
one~preferentially~compared~relatively	{'233': 1}
knowledge	{'233': 1}
event~knowledge	{'233': 1}
compared~event~knowledge	{'233': 1}
preferentially~compared~event~knowledge	{'233': 1}
assertions	{'233': 1}
equally~assertions	{'233': 1}
event~equally~assertions	{'233': 1}
compared~event~equally~assertions	{'233': 1}
keynes~equal	{'233': 1}
likely~keynes~equal	{'233': 1}
equally~likely~keynes~equal	{'233': 1}
pp~keynes	{'233': 1}
likely~pp~keynes	{'233': 1}
strenuously	{'233': 1}
principle~strenuously	{'233': 1}
pp~principle~strenuously	{'233': 1}
keynes~pp~principle~strenuously	{'233': 1}
principle~opposed	{'233': 1}
indifference~principle	{'233': 1}
devoted	{'233': 1}
formulating~devoted	{'233': 1}
indifference~formulating~devoted	{'233': 1}
principle~indifference~formulating~devoted	{'233': 1}
entire	{'233': 1, '280': 1, '379': 1, '392': 1}
no~entire	{'233': 1}
formulating~no~entire	{'233': 1}
indifference~formulating~no~entire	{'233': 1}
chapter	{'233': 1}
reason~chapter	{'233': 1}
no~reason~chapter	{'233': 1}
formulating~no~reason~chapter	{'233': 1}
book	{'233': 1}
predicating~book	{'233': 1}
reason~predicating~book	{'233': 1}
no~reason~predicating~book	{'233': 1}
our~attempt	{'233': 1}
predicating~our~attempt	{'233': 1}
reason~predicating~our~attempt	{'233': 1}
refute	{'233': 1}
subject~refute	{'233': 1}
our~subject~refute	{'233': 1}
predicating~our~subject~refute	{'233': 1}
poincare	{'233': 1}
principle~poincare	{'233': 1}
principle~insufficient	{'233': 1}
ignorant~random	{'233': 1}
bernoulli~ignorant~random	{'233': 1}
jakob~bernoulli~ignorant~random	{'233': 1}
event~random	{'233': 1}
ways~event~random	{'233': 1}
ignorant~ways~event~random	{'233': 1}
branch	{'234': 1}
probability~branch	{'234': 1}
branch~mathematics	{'234': 1}
probability~branch~mathematics	{'234': 1}
studies	{'234': 1}
mathematics~studies	{'234': 1}
branch~mathematics~studies	{'234': 1}
probability~branch~mathematics~studies	{'234': 1}
studies~possible	{'234': 2}
mathematics~studies~possible	{'234': 2}
branch~mathematics~studies~possible	{'234': 1}
event~together	{'234': 1}
outcome~event~together	{'234': 1}
possible~outcome~event~together	{'234': 1}
outcomes'	{'234': 1}
together~outcomes'	{'234': 1}
event~together~outcomes'	{'234': 1}
outcomes'~relative	{'234': 1}
together~outcomes'~relative	{'234': 1}
event~together~outcomes'~relative	{'234': 1}
distribution~common	{'234': 1}
likelihood~distribution~common	{'234': 1}
relative~likelihood~distribution~common	{'234': 1}
usage~word	{'234': 1}
common~usage~word	{'234': 1}
distribution~common~usage~word	{'234': 1}
word~mean	{'234': 1}
usage~word~mean	{'234': 1}
common~usage~word~mean	{'234': 1}
mean~chance	{'234': 1}
word~mean~chance	{'234': 1}
usage~word~mean~chance	{'234': 1}
chance~particular	{'234': 1}
mean~chance~particular	{'234': 1}
word~mean~chance~particular	{'234': 1}
particular~event	{'234': 1}
chance~particular~event	{'234': 1}
mean~chance~particular~event	{'234': 1}
event~set	{'234': 1, '246': 1}
particular~event~set	{'234': 1}
chance~particular~event~set	{'234': 1}
event~linear	{'234': 1}
set~event~linear	{'234': 1}
linear~scale	{'234': 1}
event~linear~scale	{'234': 1}
set~event~linear~scale	{'234': 1}
impossibility	{'234': 1}
certainty	{'234': 1}
branch~governed	{'234': 1}
probability~branch~governed	{'234': 1}
mathematics~probability	{'234': 1}
branch~mathematics~probability	{'234': 1}
competing	{'234': 1}
probability~competing	{'234': 1}
interpretations	{'234': 1}
branch~interpretations	{'234': 1}
probability~branch~interpretations	{'234': 1}
frequentists	{'234': 1}
studies~frequentists	{'234': 1}
mathematics~studies~frequentists	{'234': 1}
branch~mathematics~studies~frequentists	{'234': 1}
view	{'234': 1, '257': 2, '288': 1}
possible~view	{'234': 1}
studies~possible~view	{'234': 1}
mathematics~studies~possible~view	{'234': 1}
possible~outcome~probability	{'234': 1}
studies~possible~outcome~probability	{'234': 1}
event~measure	{'234': 1}
outcome~event~measure	{'234': 1}
possible~outcome~event~measure	{'234': 1}
together~frequency	{'234': 1}
event~together~frequency	{'234': 1}
outcome~event~together~frequency	{'234': 1}
conventional	{'234': 1, '414': 1}
relative~conventional	{'234': 1}
outcomes'~relative~conventional	{'234': 1}
together~outcomes'~relative~conventional	{'234': 1}
interpretation	{'234': 1, '321': 1}
subjectively	{'234': 1}
probability~subjectively	{'234': 1}
branch~statistical	{'234': 1}
probability~branch~statistical	{'234': 1}
mathematics~procedure	{'234': 1}
branch~mathematics~procedure	{'234': 1}
probability~branch~mathematics~procedure	{'234': 1}
studies~endeavors	{'234': 1}
mathematics~studies~endeavors	{'234': 1}
branch~mathematics~studies~endeavors	{'234': 1}
studies~possible~estimate	{'234': 1}
mathematics~studies~possible~estimate	{'234': 1}
event~underlying	{'234': 1}
outcome~event~underlying	{'234': 1}
possible~outcome~event~underlying	{'234': 1}
together~distribution	{'234': 1}
event~together~distribution	{'234': 1}
outcome~event~together~distribution	{'234': 1}
outcomes'~based	{'234': 1}
together~outcomes'~based	{'234': 1}
event~together~outcomes'~based	{'234': 1}
relative~observed	{'234': 1}
outcomes'~relative~observed	{'234': 1}
together~outcomes'~relative~observed	{'234': 1}
probability~normalized	{'234': 1, '551': 1}
branch~function	{'234': 1}
probability~branch~function	{'234': 1}
studies~probability	{'234': 1}
mathematics~studies~probability	{'234': 1}
branch~mathematics~studies~probability	{'234': 1}
possible~outcome	{'234': 1, '566': 1}
studies~possible~outcome	{'234': 1}
event~within	{'234': 1}
outcome~event~within	{'234': 1}
possible~outcome~event~within	{'234': 1}
together~interval	{'234': 1}
event~together~interval	{'234': 1}
outcome~event~together~interval	{'234': 1}
mathematics~cumulative	{'234': 1}
branch~mathematics~cumulative	{'234': 1}
probability~branch~mathematics~cumulative	{'234': 1}
studies~value	{'234': 1}
mathematics~studies~value	{'234': 1}
branch~mathematics~studies~value	{'234': 1}
possible~integral	{'234': 1}
studies~possible~integral	{'234': 1}
mathematics~studies~possible~integral	{'234': 1}
outcome~continuous	{'234': 1}
possible~outcome~continuous	{'234': 1}
studies~possible~outcome~continuous	{'234': 1}
event~distribution	{'234': 1}
outcome~event~distribution	{'234': 1}
possible~outcome~event~distribution	{'234': 1}
together~sum	{'234': 1}
event~together~sum	{'234': 1}
outcome~event~together~sum	{'234': 1}
outcomes'~discrete	{'234': 1}
together~outcomes'~discrete	{'234': 1}
event~together~outcomes'~discrete	{'234': 1}
probability~probabilistic	{'234': 1}
mathematics~common	{'234': 1}
branch~mathematics~common	{'234': 1}
probability~branch~mathematics~common	{'234': 1}
studies~practice	{'234': 1}
mathematics~studies~practice	{'234': 1}
branch~mathematics~studies~practice	{'234': 1}
capital	{'234': 1, '293': 1}
probability~letter	{'234': 1}
branch~most	{'234': 1}
probability~branch~most	{'234': 1}
mathematics~range	{'234': 1}
branch~mathematics~range	{'234': 1}
probability~branch~mathematics~range	{'234': 1}
probability~variate	{'234': 1}
probability~element	{'234': 1}
probability~obey	{'234': 1}
branch~certain	{'234': 1}
probability~branch~certain	{'234': 1}
contain	{'234': 1, '274': 1, '347': 1, '545': 1}
empty	{'234': 1}
branch~very	{'234': 1}
probability~branch~very	{'234': 1}
mathematics~important	{'234': 1}
branch~mathematics~important	{'234': 1}
probability~branch~mathematics~important	{'234': 1}
branch~bayes	{'234': 1}
probability~branch~bayes	{'234': 1}
studies~conditional	{'234': 1}
mathematics~studies~conditional	{'234': 1}
branch~mathematics~studies~conditional	{'234': 1}
outcome~countable	{'234': 1}
possible~outcome~countable	{'234': 1}
studies~possible~outcome~countable	{'234': 1}
additivity	{'234': 1}
event~additivity	{'234': 1}
outcome~event~additivity	{'234': 1}
possible~outcome~event~additivity	{'234': 1}
together~probability	{'234': 1}
event~together~probability	{'234': 1}
outcome~event~together~probability	{'234': 1}
axiom	{'234': 1, '235': 3, '442': 2}
relative~distribution	{'234': 1}
outcomes'~relative~distribution	{'234': 1}
together~outcomes'~relative~distribution	{'234': 1}
distribution~independent	{'234': 1, '511': 1}
likelihood~distribution~independent	{'234': 1}
relative~likelihood~distribution~independent	{'234': 1}
usage~word~probability	{'234': 1}
common~usage~word~probability	{'234': 1}
chance~probability	{'234': 1, '244': 1}
mean~chance~probability	{'234': 1}
word~mean~chance~probability	{'234': 1}
particular~density	{'234': 1}
chance~particular~density	{'234': 1}
mean~chance~particular~density	{'234': 1}
event~set~probability	{'234': 1}
particular~event~set~probability	{'234': 1}
linear~statistical	{'234': 1}
event~linear~statistical	{'234': 1}
set~event~linear~statistical	{'234': 1}
certainty~uniform	{'234': 1}
impossibility~certainty~uniform	{'234': 1}
scale~impossibility~certainty~uniform	{'234': 1}
event~finite	{'235': 1}
countably	{'235': 1}
event~countably	{'235': 1}
sample~infinite	{'235': 1}
event~sample~infinite	{'235': 1}
experiment	{'235': 1, '293': 2, '440': 1, '441': 1, '442': 3, '448': 2, '450': 3, '451': 1, '458': 2, '542': 1}
either~independence	{'235': 1}
space~either~independence	{'235': 1}
sample~space~either~independence	{'235': 1}
element~kolmogorov	{'235': 1}
finite~element~kolmogorov	{'235': 1}
either~finite~element~kolmogorov	{'235': 1}
quantity~sample	{'235': 1}
element~quantity~sample	{'235': 1}
infinite~element~quantity~sample	{'235': 1}
pdf	{'236': 1, '566': 1}
density~derivative	{'236': 1}
probability~density~derivative	{'236': 1}
probability~function	{'236': 4, '460': 1}
density~satisfies	{'236': 1}
probability~density~satisfies	{'236': 1}
constrained	{'236': 1, '278': 1, '292': 1}
probability~normalization	{'236': 1}
condition	{'236': 1, '274': 1, '288': 1, '297': 1, '327': 1, '451': 1, '511': 1, '570': 3, '572': 4, '578': 6, '579': 2, '580': 2, '581': 1}
function~set	{'236': 1, '339': 1}
density~function~set	{'236': 1}
probability~density~function~set	{'236': 1}
pdf~transformed	{'236': 1}
function~pdf~transformed	{'236': 1}
density~function~pdf~transformed	{'236': 1}
distribution~find	{'236': 1, '482': 1}
continuous~distribution~find	{'236': 1}
pdf~continuous~distribution~find	{'236': 1}
delta	{'236': 1, '506': 1, '509': 1, '510': 1, '511': 1, '526': 1, '528': 1, '529': 1, '530': 1}
function~distribution	{'236': 1, '512': 1, '551': 1, '556': 3, '558': 1}
density~function~distribution	{'236': 1, '512': 1}
probability~density~function~distribution	{'236': 1, '512': 1}
probability~abramowitz	{'236': 1}
density~stegun	{'236': 1}
probability~density~stegun	{'236': 1}
pdf~continuous	{'236': 1}
function~pdf~continuous	{'236': 1}
density~function~pdf~continuous	{'236': 1}
cornish-fisher	{'236': 1, '351': 1, '352': 1, '354': 1}
distribution~cornish-fisher	{'236': 1}
continuous~distribution~cornish-fisher	{'236': 1}
pdf~continuous~distribution~cornish-fisher	{'236': 1}
derivative~asymptotic	{'236': 1}
distribution~derivative~asymptotic	{'236': 1}
continuous~distribution~derivative~asymptotic	{'236': 1}
distribution~difference	{'236': 1, '506': 1}
cumulative~distribution~difference	{'236': 1}
derivative~cumulative~distribution~difference	{'236': 1}
probability~discrete	{'236': 1, '568': 1}
function~probability~discrete	{'236': 1, '568': 1}
distribution~function~probability~discrete	{'236': 1}
satisfies~distribution	{'236': 1}
function~satisfies~distribution	{'236': 1}
probability~function~satisfies~distribution	{'236': 1}
normalization~joint	{'236': 1}
constrained~normalization~joint	{'236': 1}
satisfies~constrained~normalization~joint	{'236': 1}
condition~distribution	{'236': 1}
normalization~condition~distribution	{'236': 1}
constrained~normalization~condition~distribution	{'236': 1}
case~product	{'236': 1}
special~case~product	{'236': 1}
condition~special~case~product	{'236': 1}
probability~ratio	{'236': 1}
find~probability~ratio	{'236': 1}
case~find~probability~ratio	{'236': 1}
function~set~sum	{'236': 1}
probability~function~set~sum	{'236': 1}
evans~use	{'237': 1}
unfortunate	{'237': 1, '507': 1}
et~unfortunate	{'237': 1}
evans~et~unfortunate	{'237': 1}
p~term	{'237': 1}
et~p~term	{'237': 1}
evans~et~p~term	{'237': 1}
evans~density	{'237': 1}
evans~domain	{'237': 1}
et~interval	{'237': 1}
evans~et~interval	{'237': 1}
superset	{'238': 1}
triple~measurable	{'239': 1}
space~triple~measurable	{'239': 1}
probability~space~triple~measurable	{'239': 1}
measurable~probability	{'239': 1, '282': 1}
domain~measurable~probability	{'239': 1}
space~domain~measurable~probability	{'239': 1}
radon	{'239': 1, '566': 1}
measure~radon	{'239': 1}
subset~measure~radon	{'239': 1}
measurable~subset~measure~radon	{'239': 1}
probability~state	{'239': 1}
measure~probability~state	{'239': 1}
domain~measurable	{'240': 1}
triple~domain~measurable	{'240': 1}
measure~probability	{'240': 1}
subset~measure~probability	{'240': 1}
measurable~subset~measure~probability	{'240': 1}
space~random	{'240': 1}
probability~space~random	{'240': 1}
measure~probability~space~random	{'240': 1}
measurable~state	{'240': 1}
probability~measurable~state	{'240': 1}
space~probability~measurable~state	{'240': 1}
proofreader	{'241': 3}
mistakes	{'241': 8}
proofreader~mistakes	{'241': 2}
missed	{'241': 2}
find~missed	{'241': 2}
proofreader~find~missed	{'241': 2}
?	{'241': 1}
proofreader~total	{'241': 1}
find~solving	{'241': 1}
proofreader~find~solving	{'241': 1}
mistakes~approximately	{'241': 1}
find~mistakes~approximately	{'241': 1}
proofreader~find~mistakes~approximately	{'241': 1}
proofreading	{'241': 1}
printer	{'241': 1}
mistakes~printer	{'241': 1}
find~mistakes~printer	{'241': 1}
proofreader~find~mistakes~printer	{'241': 1}
monotonic	{'242': 2, '465': 1, '537': 1}
random~probability	{'242': 1, '280': 1, '289': 1, '349': 1}
random~quantile	{'242': 1}
variable~discrete	{'242': 1, '539': 1}
random~variable~discrete	{'242': 1}
continuous~nature	{'242': 1}
variable~continuous~nature	{'242': 1}
random~variable~continuous~nature	{'242': 1}
strictly~distribution	{'242': 1}
continuous~strictly~distribution	{'242': 1}
variable~continuous~strictly~distribution	{'242': 1}
gaps	{'242': 1, '285': 1}
probability~gaps	{'242': 1}
monotonic~probability~gaps	{'242': 1}
strictly~monotonic~probability~gaps	{'242': 1}
function~domain	{'242': 1}
density~function~domain	{'242': 1}
probability~density~function~domain	{'242': 1}
random~one	{'242': 1, '244': 1, '280': 1}
defines	{'242': 1, '289': 1, '353': 1}
variable~defines	{'242': 1}
random~variable~defines	{'242': 1}
continuous~quantile	{'242': 1}
variable~continuous~quantile	{'242': 1}
random~variable~continuous~quantile	{'242': 1}
strictly~function	{'242': 1}
continuous~strictly~function	{'242': 1}
variable~continuous~strictly~function	{'242': 1}
variable~continuous	{'242': 1, '521': 1}
random~variable~continuous	{'242': 1, '521': 1}
monotonic~discrete	{'242': 1}
strictly~monotonic~discrete	{'242': 1}
continuous~strictly~monotonic~discrete	{'242': 1}
density~distribution	{'242': 1}
probability~density~distribution	{'242': 1}
monotonic~probability~density~distribution	{'242': 1}
quantile~monotone	{'242': 1}
function~quantile~monotone	{'242': 1}
density~function~quantile~monotone	{'242': 1}
assign~monotonic	{'242': 1}
function~assign~monotonic	{'242': 1}
quantile~function~assign~monotonic	{'242': 1}
value~probability	{'242': 1, '411': 2}
attained~value~probability	{'242': 1}
symbolically~density	{'242': 1}
value~symbolically~density	{'242': 1}
attained~value~symbolically~density	{'242': 1}
function~random	{'242': 1, '271': 1}
quantile~function~random	{'242': 1}
defining~quantile~function~random	{'242': 1}
random~closed	{'243': 3}
closed~set	{'243': 1}
random~closed~set	{'243': 1}
racs	{'243': 3}
compact	{'243': 2}
random~racs	{'243': 1}
random~setting	{'243': 1}
locally	{'243': 1}
separable	{'243': 1}
lcs	{'243': 2}
topological	{'243': 1, '274': 2}
random~above	{'243': 1}
closed~definition	{'243': 1}
random~closed~definition	{'243': 1}
modified	{'243': 1, '244': 1, '245': 3, '301': 1, '347': 1, '493': 1, '503': 1, '509': 1, '519': 1, '523': 1, '524': 1, '531': 1}
set~modified	{'243': 1}
closed~set~modified	{'243': 1}
random~closed~set~modified	{'243': 1}
ambient	{'243': 1}
set~ambient	{'243': 1}
closed~set~ambient	{'243': 1}
random~closed~set~ambient	{'243': 1}
racs~lcs	{'243': 1}
set~racs~lcs	{'243': 1}
closed~set~racs~lcs	{'243': 1}
measurable~space	{'243': 1}
racs~measurable~space	{'243': 1}
set~racs~measurable~space	{'243': 1}
molchanov	{'243': 1}
random~number	{'243': 1, '262': 1, '276': 1, '280': 2, '281': 4, '282': 1, '284': 1, '349': 1}
closed~apparent	{'243': 1}
random~closed~apparent	{'243': 1}
racs~one	{'243': 1}
set~racs~one	{'243': 1}
closed~set~racs~one	{'243': 1}
random~case	{'243': 1}
closed~racs	{'243': 1}
random~closed~racs	{'243': 1}
talking	{'243': 1}
set~talking	{'243': 1}
closed~set~talking	{'243': 1}
random~closed~set~talking	{'243': 1}
set~time-series	{'243': 1}
closed~set~time-series	{'243': 1}
random~closed~set~time-series	{'243': 1}
measurable~multidimensional	{'243': 1}
racs~measurable~multidimensional	{'243': 1}
set~racs~measurable~multidimensional	{'243': 1}
measurable~function~point	{'243': 1}
racs~measurable~function~point	{'243': 1}
function~probability~space~point	{'243': 1}
russian	{'244': 2}
roulette	{'244': 2}
russian~roulette	{'244': 1}
russian~one	{'244': 1}
roulette~six	{'244': 1}
russian~roulette~six	{'244': 1}
chambers	{'244': 4}
game~chambers	{'244': 1}
roulette~game~chambers	{'244': 1}
russian~roulette~game~chambers	{'244': 1}
revolver	{'244': 6}
chance~revolver	{'244': 1}
game~chance~revolver	{'244': 1}
roulette~game~chance~revolver	{'244': 1}
filled	{'244': 1}
one~filled	{'244': 1}
chance~one~filled	{'244': 1}
game~chance~one~filled	{'244': 1}
cartridges	{'244': 1}
chamber	{'244': 4}
chambers~chamber	{'244': 1}
six~chambers~chamber	{'244': 1}
one~six~chambers~chamber	{'244': 1}
rotated	{'244': 1}
revolver~rotated	{'244': 1}
chambers~revolver~rotated	{'244': 1}
six~chambers~revolver~rotated	{'244': 1}
gun	{'244': 1}
cartridges~gun	{'244': 1}
filled~cartridges~gun	{'244': 1}
revolver~filled~cartridges~gun	{'244': 1}
fired	{'244': 1}
rotated~shooter	{'244': 1}
chamber~rotated~shooter	{'244': 1}
cartridges~chamber~rotated~shooter	{'244': 1}
gun~chamber	{'244': 1}
random~gun~chamber	{'244': 1}
rotated~random~gun~chamber	{'244': 1}
rotates	{'244': 1}
fired~rotates	{'244': 1}
gun~fired~rotates	{'244': 1}
random~gun~fired~rotates	{'244': 1}
shooter~place	{'244': 1}
fired~shooter~place	{'244': 1}
gun~fired~shooter~place	{'244': 1}
loaded	{'244': 2}
rotates~only	{'244': 1}
chamber~rotates~only	{'244': 1}
bet~chamber~rotates~only	{'244': 1}
place~bet	{'244': 1}
rotates~place~bet	{'244': 1}
chamber~rotates~place~bet	{'244': 1}
life	{'244': 1}
lose~case	{'244': 1}
loaded~lose~case	{'244': 1}
place~loaded~lose~case	{'244': 1}
only~revolver	{'244': 1}
lose~only~revolver	{'244': 1}
loaded~lose~only~revolver	{'244': 1}
bet~six	{'244': 2}
only~bet~six	{'244': 1}
lose~only~bet~six	{'244': 1}
life~chambers	{'244': 1}
bet~life~chambers	{'244': 1}
only~bet~life~chambers	{'244': 1}
revolvers	{'244': 1}
case~revolvers	{'244': 1}
life~case~revolvers	{'244': 1}
bet~life~case~revolvers	{'244': 1}
revolver~chambers	{'244': 1}
case~revolver~chambers	{'244': 1}
life~case~revolver~chambers	{'244': 1}
chambers~shooter	{'244': 1}
six~chambers~shooter	{'244': 1}
revolver~six~chambers~shooter	{'244': 1}
revolvers~chance	{'244': 1}
chambers~revolvers~chance	{'244': 1}
six~chambers~revolvers~chance	{'244': 1}
dying	{'244': 1}
chambers~dying	{'244': 1}
revolvers~chambers~dying	{'244': 1}
ignoring	{'244': 2, '350': 1}
common~ignoring	{'244': 1}
chambers~common~ignoring	{'244': 1}
revolvers~chambers~common~ignoring	{'244': 1}
shooter~fact	{'244': 1}
common~shooter~fact	{'244': 1}
chambers~common~shooter~fact	{'244': 1}
shooter~chance~probability	{'244': 1}
common~shooter~chance~probability	{'244': 1}
firing	{'244': 2}
dying~firing	{'244': 1}
chance~dying~firing	{'244': 1}
shooter~chance~dying~firing	{'244': 1}
round	{'244': 2}
ignoring~round	{'244': 1}
dying~ignoring~round	{'244': 1}
chance~dying~ignoring~round	{'244': 1}
fact~always	{'244': 1}
ignoring~fact~always	{'244': 1}
dying~ignoring~fact~always	{'244': 1}
fact~probability~less	{'244': 1}
ignoring~fact~probability~less	{'244': 1}
mass	{'244': 1, '502': 1}
russian~mass	{'244': 1}
roulette~round	{'244': 1}
russian~roulette~round	{'244': 1}
game~cylinder	{'244': 1}
roulette~game~cylinder	{'244': 1}
russian~roulette~game~cylinder	{'244': 1}
chance~causes	{'244': 1}
game~chance~causes	{'244': 1}
roulette~game~chance~causes	{'244': 1}
imbalance	{'244': 2}
six~cylinder	{'244': 1}
one~six~cylinder	{'244': 1}
chance~one~six~cylinder	{'244': 1}
tend	{'244': 1, '507': 1, '578': 1}
chambers~tend	{'244': 1}
six~chambers~tend	{'244': 1}
one~six~chambers~tend	{'244': 1}
revolver~stop	{'244': 1}
chambers~revolver~stop	{'244': 1}
six~chambers~revolver~stop	{'244': 1}
rotating	{'244': 1}
filled~rotating	{'244': 1}
revolver~filled~rotating	{'244': 1}
chambers~revolver~filled~rotating	{'244': 1}
heavy	{'244': 1, '339': 1, '565': 1}
cartridges~heavy	{'244': 1}
filled~cartridges~heavy	{'244': 1}
revolver~filled~cartridges~heavy	{'244': 1}
chamber~side	{'244': 1}
cartridges~chamber~side	{'244': 1}
filled~cartridges~chamber~side	{'244': 1}
rotated~close	{'244': 1}
chamber~rotated~close	{'244': 1}
cartridges~chamber~rotated~close	{'244': 1}
gun~firing	{'244': 1}
random~gun~firing	{'244': 1}
rotated~random~gun~firing	{'244': 1}
pin	{'244': 1}
fired~pin	{'244': 1}
gun~fired~pin	{'244': 1}
random~gun~fired~pin	{'244': 1}
shooter~opposite	{'244': 1}
fired~shooter~opposite	{'244': 1}
gun~fired~shooter~opposite	{'244': 1}
bet~top	{'244': 1}
shooter~bet~top	{'244': 1}
fired~shooter~bet~top	{'244': 1}
russian~version	{'244': 1}
blom	{'244': 2}
roulette~blom	{'244': 1}
russian~roulette~blom	{'244': 1}
variant	{'244': 1, '542': 1}
roulette~revolver	{'244': 1}
russian~roulette~revolver	{'244': 1}
game~loaded	{'244': 1}
roulette~game~loaded	{'244': 1}
russian~roulette~game~loaded	{'244': 1}
chance~single	{'244': 1}
game~chance~single	{'244': 1}
roulette~game~chance~single	{'244': 1}
cartridge	{'244': 1}
six~two	{'244': 1}
one~six~two	{'244': 1}
chance~one~six~two	{'244': 1}
duelists	{'244': 1}
chambers~duelists	{'244': 1}
six~chambers~duelists	{'244': 1}
one~six~chambers~duelists	{'244': 1}
alternately	{'244': 1}
revolver~alternately	{'244': 1}
chambers~revolver~alternately	{'244': 1}
six~chambers~revolver~alternately	{'244': 1}
spin	{'244': 1, '462': 1, '479': 1}
filled~spin	{'244': 1}
revolver~filled~spin	{'244': 1}
chambers~revolver~filled~spin	{'244': 1}
cartridges~chamber	{'244': 1}
filled~cartridges~chamber	{'244': 1}
revolver~filled~cartridges~chamber	{'244': 1}
fire	{'244': 1}
chamber~fire	{'244': 1}
cartridges~chamber~fire	{'244': 1}
filled~cartridges~chamber~fire	{'244': 1}
rotated~themselves	{'244': 1}
chamber~rotated~themselves	{'244': 1}
cartridges~chamber~rotated~themselves	{'244': 1}
rotated~random~one	{'244': 1}
chamber~rotated~random~one	{'244': 1}
killed	{'244': 2}
fired~case	{'244': 1}
gun~fired~case	{'244': 1}
random~gun~fired~case	{'244': 1}
shooter~revolver	{'244': 1}
fired~shooter~revolver	{'244': 1}
gun~fired~shooter~revolver	{'244': 1}
shooter~bet~six	{'244': 1}
fired~shooter~bet~six	{'244': 1}
bet~chambers	{'244': 1}
shooter~bet~chambers	{'244': 1}
rotates~again	{'244': 1}
chamber~rotates~again	{'244': 1}
bet~chamber~rotates~again	{'244': 1}
place~ignoring	{'244': 1}
rotates~place~ignoring	{'244': 1}
chamber~rotates~place~ignoring	{'244': 1}
loaded~imbalance	{'244': 1}
place~loaded~imbalance	{'244': 1}
rotates~place~loaded~imbalance	{'244': 1}
lose~real	{'244': 1}
loaded~lose~real	{'244': 1}
place~loaded~lose~real	{'244': 1}
bet~probability	{'244': 1}
only~bet~probability	{'244': 1}
lose~only~bet~probability	{'244': 1}
life~first	{'244': 1}
bet~life~first	{'244': 1}
only~bet~life~first	{'244': 1}
duelist	{'244': 1}
case~duelist	{'244': 1}
life~case~duelist	{'244': 1}
bet~life~case~duelist	{'244': 1}
revolver~killed	{'244': 1}
case~revolver~killed	{'244': 1}
life~case~revolver~killed	{'244': 1}
game~first	{'245': 2}
first~proposed	{'245': 1}
game~first~proposed	{'245': 1}
nicolaus	{'245': 1}
proposed~nicolaus	{'245': 1}
first~proposed~nicolaus	{'245': 1}
game~first~proposed~nicolaus	{'245': 1}
bernoulli~player	{'245': 3}
nicolaus~bernoulli~player	{'245': 3}
proposed~nicolaus~bernoulli~player	{'245': 3}
bet~many	{'245': 1}
player~bet~many	{'245': 1}
bernoulli~player~bet~many	{'245': 1}
first~turns	{'245': 1}
game~first~turns	{'245': 1}
proposed~up	{'245': 2}
first~proposed~up	{'245': 2}
game~first~proposed~up	{'245': 2}
pays	{'245': 1}
player~pays	{'245': 1}
bernoulli~player~pays	{'245': 1}
nicolaus~bernoulli~player~pays	{'245': 1}
bet~fixed	{'245': 1}
player~bet~fixed	{'245': 1}
bernoulli~player~bet~fixed	{'245': 1}
many~amount	{'245': 1}
bet~many~amount	{'245': 1}
player~bet~many~amount	{'245': 1}
coin~receives	{'245': 1}
tosses~coin~receives	{'245': 1}
many~tosses~coin~receives	{'245': 1}
dollars	{'245': 4}
first~expectation	{'245': 1}
game~first~expectation	{'245': 1}
proposed~value	{'245': 1}
first~proposed~value	{'245': 1}
game~first~proposed~value	{'245': 1}
gain	{'245': 2}
nicolaus~gain	{'245': 1}
proposed~nicolaus~gain	{'245': 1}
first~proposed~nicolaus~gain	{'245': 1}
game~finite	{'245': 1}
first~amount	{'245': 1}
game~first~amount	{'245': 1}
money	{'245': 2}
proposed~money	{'245': 1}
first~proposed~money	{'245': 1}
game~first~proposed~money	{'245': 1}
wagered	{'245': 1}
nicolaus~wagered	{'245': 1}
proposed~nicolaus~wagered	{'245': 1}
first~proposed~nicolaus~wagered	{'245': 1}
player~still	{'245': 1}
bernoulli~player~still	{'245': 1}
nicolaus~bernoulli~player~still	{'245': 1}
bet~come	{'245': 1}
player~bet~come	{'245': 1}
